scenario,mean_loss,std_loss,p50_loss,var95_loss,var99_loss,es95_loss,es99_loss,mean_loss_pct,var95_loss_pct,var99_loss_pct,es95_loss_pct,es99_loss_pct
DAPS,10.827544,10.278626,6.421367,34.572123,44.062933,40.743524,49.448338,10.827544,34.572123,44.062933,40.743524,49.448338
DiRe,10.580613,9.245529,6.837443,31.878512,40.521119,37.305147,45.205064,10.580613,31.878512,40.521119,37.305147,45.205064
HWTP,6.755773,6.424116,4.092661,21.001303,29.255871,26.146392,33.583186,6.755773,21.001303,29.255871,26.146392,33.583186
SWUC,13.269103,14.217532,7.181291,43.834286,58.12334,53.867297,71.528625,13.269103,43.834286,58.12334,53.867297,71.528625
